Formula,Material ID,a,b,c,avg_lattice,volume,density
Sc2S3,mp-401,6.400310465864451,6.4003108861991755,11.678897106900614,8.159839486321413,428.6277174366303,2.883972633977312
ScAg(PSe3)2,mp-13383,6.535032236819648,6.535032236819648,15.168923,9.412995824546432,561.0232200306174,4.075887198057913
ScAgO2,mp-11022,3.21142308,3.2114227772551334,12.40930025,6.277382035751711,110.83397731096576,5.53811517415263
ScCuO2,mp-3642,3.22138292,3.2213823633947194,11.38010347,5.940956251131573,102.27311664510334,4.5624290881974545
ScNiSb,mp-3432,4.301190247643293,4.301189325752543,4.30118992,4.301189831131945,56.26662650851607,6.6522731462277545
ScSbPd,mp-569779,4.490139293110916,4.490138800654892,4.49013962,4.4901392379219365,64.0124422932965,7.085385842478886
ScTlS2,mp-13312,3.79249698,3.792497804253862,14.94939822,7.511464334751288,186.21082110984122,5.59073709680138
ScTlSe2,mp-13313,8.026628533609722,8.026628695522975,8.02662809889958,8.026628442677426,104.88475063809506,6.4477421898270135
ScTlTe2,mp-13314,8.441830029208415,8.441830146013093,8.44183011343753,8.44183009621968,127.70384451989109,6.5605469851542555
Si(Bi3O5)4,mp-23492,8.752093150938395,8.75209280452828,8.752092498532775,8.752092817999817,516.0762152775502,9.18901302686875
Si3N4,mp-988,7.604544200000063,7.6045446714657094,2.90519908,6.038095983821925,145.49663109055865,3.2020796398588742
Si3Ru2,mp-22192,5.54269615,8.95125571,11.09096159,8.528304483333333,550.2679727401842,6.914050613111794
SiAs,mp-1863,3.6758323873402365,8.620543957275418,9.885346821037691,7.393907721884449,288.35662420758007,3.5590785713465807
SiAs2,mp-978553,15.48089001,10.47976247,3.65494202,9.871864833333333,592.9633567752937,3.9861830117278756
SiB3,mp-569128,6.206337550628522,8.153716285995536,8.153716611686216,7.504590149436758,325.62657183715186,2.4689221874015743
SiGe,mp-1219182,3.9194393742758327,3.9194393742758327,3.9194393742758327,3.9194393742758327,42.57521558313115,3.9285444703441104
