Formula,Material ID,formula_unit_mass,volume,density,estimate_density
Li2TeWO6,mp-1196881,1685.2736,510.8354423236782,5.478207694399647,5.4782107737364525
Li2ZnSnS4,mp-555186,652.5219999999999,352.33512162435875,3.075305884410742,3.0753076130605344
Li3Bi,mp-23222,229.8034,74.88789412092665,5.095583576182748,5.095586440444004
Li3PS4,mp-985583,720.227048,644.980015636747,1.8542669866217394,1.8542680289174858
Li3ScN2,mp-542435,750.338496,497.4472018838932,2.504720864974737,2.5047222728949134
LiAlB14,mp-8204,370.55307719999996,244.48639067743554,2.5167775565522934,2.5167789712496162
LiAsS2,mp-555874,291.98519999999996,158.8211673254257,3.0528224898104876,3.0528242058222155
LiAsSe2,mp-1078724,479.5652,180.1193542287808,4.421161473687972,4.421163958852099
LiB3,mp-1222413,157.496,146.89719224397047,1.7803489422648802,1.7803499430108043
LiB3O5,mp-3660,477.48400000000004,318.68110831890215,2.4880070232559994,2.4880084217812146
LiBi3(ClO2)2,mp-754206,1537.5716,376.1190099246799,6.788270845459157,6.788274661191131
LiBiS2,mp-1222404,280.0514,85.40092773823045,5.445330661763359,5.445333722619766
LiBr,mp-976280,173.69,99.3445024061208,2.9032208475784156,2.90322247949807
LiCa3As2H,mp-1192528,1112.10456,584.1222200119627,3.1614840263843815,3.1614858034754785
LiCdBO3,mp-6126,534.4836,204.26583499690264,4.344979659816659,4.344982102158483
LiCl,mp-22905,42.394000000000005,32.856351560680025,2.1425657398214,2.142566944171784
LiF,mp-1138,25.939403199999997,17.02215120415618,2.5304317804069387,2.530433202779391
LiGa(GeSe3)2,mp-1222398,1391.408,562.1696138591242,4.109947041994989,4.109949352223424
LiGaO2,mp-5854,434.6512,171.72218722098282,4.2030404435495,4.203042806106352
LiGaS2,mp-3647,563.1759999999999,319.85357696230477,2.9237620484129625,2.923763691878962
LiGaSe2,mp-11582,938.336,374.1015745850539,4.165028140620471,4.165030481810356
LiGaTe2,mp-5048,663.728,239.65377548288564,4.598910538235989,4.598913123314043
