,compound,mp
1220,SmCuSe2,0.8167999999999997
1404,Zn(InTe2)2,0.8291
638,In2S3,0.8348999999999998
683,K2Bi8Se13,0.8361000000000001
1212,Sm2ZrSe5,0.8425000000000002
1174,SbTeI,0.8429000000000002
276,Cd(InTe2)2,0.8481000000000005
249,Ca2CdAs2,0.8529999999999998
916,Mn11Si19,0.8562999999999992
1175,SbTeOs,0.8576000000000015
1292,Te2Mo,0.8632999999999997
424,CsK2Sb,0.8633999999999997
469,CuP2,0.8679000000000006
696,K2Ho4Cu4S9,0.8687000000000005
414,CsGdZnTe3,0.8742999999999999
702,K2Mn(SnSe3)2,0.8791
1333,Tl3AsSe3,0.8813999999999997
1059,Pr2Te3,0.8827999999999996
1142,RbV(CuS2)2,0.8835999999999999
981,NaSbS2,0.8857000000000004
1436,ZnSiAs2,0.8866
1197,SiAs2,0.8890999999999996
1022,P2Os,0.8902999999999999
9,Ag3AsSe3,0.8906000000000001
45,AlCuSe2,0.8921999999999999
602,GeSe,0.8988
1085,Rb2Cu2SnS4,0.9012999999999995
1241,SnS,0.9047999999999998
1178,Sc(CuSe)3,0.9079000000000006
65,AsRuS,0.9146
545,Ga2HgSe4,0.9168
1050,Pd(IO3)2,0.9186
691,K2Gd2Sb2Se9,0.9220000000000002
155,Ba3ThSe7,0.923
637,In2O3,0.9288999999999996
1189,ScTlS2,0.9331000000000004
287,CdAg2GeS4,0.9337
1032,POsS,0.944
24,AgCl,0.9522000000000002
404,CsBiSe2,0.9529999999999998
760,KCu2SbS3,0.9539
275,Cd(InSe2)2,0.9564
730,K3Cr2(PS4)3,0.9572
995,NbCuO3,0.959
556,GaAgS2,0.9622000000000002
576,Gd(CuS)3,0.9673000000000008
1035,PPdSe,0.9677000000000002
552,Ga2SnGeS6,0.9682
1382,VO,0.9700999999999996
281,Cd4As2Br3,0.9704
105,Ba2GaSbTe5,0.9728
682,K2BaNb2S11,0.9735999999999998
315,CdSnO3,0.9762
1118,RbBi3Se5,0.984
174,BaCuTeF,0.9884000000000004
1325,Tl2Hg3Te4,0.9897
641,In2Se3,0.9901999999999996
416,CsGeI3,0.9905000000000002
1403,Zn(InSe2)2,0.9929
402,CsBi3Se5,0.9987999999999996
387,Cs3Nb2AsSe11,1.0014
149,Ba3Nb2Se9,1.0023
106,Ba2GaSe4,1.0042
575,GaTe,1.0066000000000002
122,Ba2SmGaTe5,1.0132
644,In4Bi3S10,1.0139000000000005
1034,PPdS,1.0142999999999995
1025,P2Pt,1.0185999999999993
46,AlCuTe2,1.0186000000000002
972,NaInSe2,1.0191999999999997
399,CsAu,1.0233
958,NaAsSe2,1.0293
1180,Sc2S3,1.0349999999999997
1324,Tl2Hg3Se4,1.0356999999999998
805,La2S3,1.0358
1379,VCu3S4,1.0358000000000005
1448,ZrS2,1.0418
1311,TiCoSb,1.0431999999999997
623,HgSe,1.0432
551,Ga2Se3,1.0436
42,AlAgTe2,1.0469000000000004
274,Cd(InS2)2,1.0503999999999998
1113,Rb4Ti3S14,1.0541
742,K5In3P6Se19,1.0646000000000002
102,Ba2GaBiTe5,1.0651999999999997
1227,Sn2SbS2I3,1.0658
856,LiAsS2,1.0664000000000002
998,Nd2HfS5,1.0667
118,Ba2NdInSe5,1.0692000000000004
1442,ZnTe,1.0732999999999997
1038,Pb2O3,1.0748999999999995
1115,Rb7Th2(P2Se7)3,1.0757
1003,Nd2ZrS5,1.0763999999999996
123,Ba2SmInSe5,1.0779999999999998
1439,ZnSnO3,1.0809999999999995
929,Na(GeP)3,1.0854999999999997
1340,TlAsSe2,1.0901
961,NaBiSe2,1.0922999999999998
1240,SnPbS3,1.0929000000000002
362,Cs2Cu2Sb2S5,1.1042999999999998
672,InSb2Se4Br,1.1103000000000005
256,Ca3N2,1.1111
1449,ZrS3,1.1132999999999995
1306,ThSO,1.1144999999999996
1268,SrTaNO2,1.1168000000000005
240,CI4,1.1181
1164,SbOsS,1.1191999999999993
341,CoPS,1.1231
1165,SbOsSe,1.123400000000001
308,CdS,1.125
721,K2Th(CuS2)2,1.1260000000000003
93,Ba2DyInSe5,1.1264000000000003
699,K2In3CuSe6,1.1284
800,La2HfS5,1.1290000000000004
782,KSbSe2,1.1298
436,CsSbSe2,1.1312
286,Cd4Sb2I3,1.1312000000000002
609,HfS3,1.1326
161,Ba5In4Te4S7,1.1328999999999998
1407,Zn2InCuTe4,1.1334000000000004
809,La2ZrS5,1.1334999999999995
41,AlAgSe2,1.1351999999999998
126,Ba2SnSe5,1.1384
